Nr.,Kontext / Frage,Antwort (offener Punkt)
1,"Adresse: Straße, Hausnummer, Ort, PLZ",
2,Haustiere – Regeln für Hunde/Katzen im Haus & Garten,
3,Waschmaschine – Anleitung / Bedienung,
4,Geschirrspüler – Anleitung / Bedienung,
5,Heizung/Warmwasser – Bedienung,
6,Grill/Pizzaofen – Hinweise & Reinigung,
7,Check-in – ab xx Uhr,
8,Check-out – bis xx Uhr,
9,Ruhezeiten – z. B. 22–7 Uhr,
10,"Mülltrennung – Restmüll, Plastik, Papier",
11,Müllabholungstage,
12,WLAN SSID,
13,WLAN Passwort,
14,Strom – Sicherungskasten/FI-Schalter,
15,Wasser – Hauptabsperrhahn,
16,Gas – Herd/Heizung,
17,"Arzt – Name, Adresse, Telefon",
18,"Apotheke – Name, Adresse, Öffnungszeiten",
19,"Krankenhaus – Name, Adresse, Notaufnahme",
20,Supermarkt – Öffnungszeiten,
21,Bäckerei – Öffnungszeiten,
22,Pizzeria – Empfehlung,
23,Wochenmärkte – Orte & Zeiten,
24,Parken – Stellplätze/Hinweise,
25,Tankstelle – Nächste mit Adresse,
26,Bus – nächste Haltestelle & Linie,
27,"Strand – Name, Entfernung",
28,Sehenswürdigkeiten – Top-3-Tipps,
29,Wandern – Startpunkte & Routen,
